1단계	2단계	사용자	상황	어떻게	결과	US ID
알림	안 읽은 알림 개수	여행자	새 알림이 있는지 앱에서 바로 알고 싶음	앱에 진입한다	안 읽은 알림 개수가 배지로 표시된다	NOTI-06
관리자	관리자 로그인	관리자	관리 기능을 사용하기 위해 관리자 권한으로 인증해야 함	관리자 전용 로그인 화면에서 관리자 계정으로 인증한다	관리자 권한이 확인되고 관리자 화면에 접근할 수 있다	ADMIN-01
관리자	관리자 로그아웃	관리자	관리 작업을 마치고 접속을 종료하고 싶음	로그아웃을 선택한다	관리자 세션이 종료된다	ADMIN-02
관리자	관리자 대시보드 조회	관리자	서비스 운영 현황을 한눈에 보고 싶음	관리자 대시보드에 접근한다	회원 수, 신고 접수 현황 등 서비스 현황을 확인할 수 있다	ADMIN-03
관리자	회원 경고	관리자	정책 위반이 명백해 누적 기준과 별개로 즉시 경고가 필요함	회원의 경고 기능을 선택하고 사유를 등록한다	해당 회원에게 경고가 처리된다	ADMIN-04
관리자	회원 차단	관리자	정책 위반이 중대해 누적 기준과 별개로 즉시 차단이 필요함	회원의 차단 기능을 선택하고 사유를 등록한다	해당 회원에게 차단이 처리된다	ADMIN-05
관리자	게시물 삭제	관리자	서비스 정책에 반하는 게시물을 삭제	게시물 삭제를 선택하고 사유 등록	해당 게시물이 삭제 처리된다	ADMIN-06
관리자	댓글 삭제	관리자	서비스 정책에 반하는 댓글을 삭제	댓글삭제를 선택하고 사유 등록	해당 댓글이 삭제 처리된다	ADMIN-07
관리자	대댓글 삭제	관리자	서비스 정책에 반하는 대댓글을 삭제	대댓글 삭제를 선택하고 사유 등록	해당 대댓글이 삭제 처리된다	ADMIN-08
관리자	신고 검토 및 유효 판정	관리자	접수된 신고가 실제 정책 위반인지 판단하고 싶음	신고 목록에서 신고 내용을 검토하고 유효 또는 반려를 선택한다	유효로 판정된 신고가 해당 회원의 누적 신고 횟수에 반영된다	ADMIN-09
관리자	누적 신고 자동 제재	관리자	회원의 유효 신고 누적이 정책 기준에 도달함	관리자가 신고를 유효로 판정하면 시스템이 해당 회원의 누적 유효 신고 횟수를 확인한다	누적 1회면 경고, 3회면 차단이 자동으로 처리되고 회원에게 제재 사실이 안내된다	ADMIN-10
관리자	회원 차단 해제	관리자	차단한 회원의 이용을 다시 허용하고 싶음	차단된 회원을 선택하고 차단 해제 사유를 등록한다	해당 회원의 차단이 해제되고 서비스를 다시 이용할 수 있다	ADMIN-11
관리자	회원 목록 조회	관리자	제재할 회원을 찾고 싶음	관리자 화면에서 회원 목록을 조회하거나 닉네임으로 검색한다	회원 목록과 각 회원의 상태, 누적 신고 횟수가 표시된다	ADMIN-12
